,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC
,Open,High,Low,Close,Volume
Date,,,,,
07/09/2011,1165.8499755859375,1198.6199951171875,1165.8499755859375,1198.6199951171875,4441040000
08/09/2011,1197.97998046875,1204.4000244140625,1183.3399658203125,1185.9000244140625,4465170000
09/09/2011,1185.3699951171875,1185.3699951171875,1148.3699951171875,1154.22998046875,4586370000
12/09/2011,1153.5,1162.52001953125,1136.0699462890625,1162.27001953125,5168550000
13/09/2011,1162.5899658203125,1176.4100341796875,1157.43994140625,1172.8699951171875,4681370000
14/09/2011,1173.3199462890625,1202.3800048828125,1162.72998046875,1188.6800537109375,4986740000
15/09/2011,1189.43994140625,1209.1099853515625,1189.43994140625,1209.1099853515625,4479730000
16/09/2011,1209.2099609375,1220.06005859375,1204.4599609375,1216.010009765625,5248890000
19/09/2011,1214.989990234375,1214.989990234375,1188.3599853515625,1204.0899658203125,4254190000
20/09/2011,1204.5,1220.3900146484375,1201.2900390625,1202.0899658203125,4315610000
21/09/2011,1203.6300048828125,1206.300048828125,1166.2099609375,1166.760009765625,4728550000
22/09/2011,1164.550048828125,1164.550048828125,1114.219970703125,1129.56005859375,6703140000
23/09/2011,1128.8199462890625,1141.719970703125,1121.3599853515625,1136.4300537109375,5639930000
26/09/2011,1136.9100341796875,1164.18994140625,1131.0699462890625,1162.949951171875,4762830000
27/09/2011,1163.3199462890625,1195.8599853515625,1163.3199462890625,1175.3800048828125,5548130000
28/09/2011,1175.3900146484375,1184.7099609375,1150.4000244140625,1151.06005859375,4787920000
29/09/2011,1151.739990234375,1175.8699951171875,1139.9300537109375,1160.4000244140625,5285740000
30/09/2011,1159.9300537109375,1159.9300537109375,1131.3399658203125,1131.4200439453125,4416790000
03/10/2011,1131.2099609375,1138.989990234375,1098.9200439453125,1099.22998046875,5670340000
04/10/2011,1097.4200439453125,1125.1199951171875,1074.77001953125,1123.949951171875,3714670000
05/10/2011,1124.030029296875,1146.0699462890625,1115.6800537109375,1144.030029296875,2510620000
06/10/2011,1144.1099853515625,1165.550048828125,1134.949951171875,1164.969970703125,5098330000
07/10/2011,1165.030029296875,1171.4000244140625,1150.260009765625,1155.4599609375,5580380000
10/10/2011,1158.1500244140625,1194.9100341796875,1158.1500244140625,1194.8900146484375,4446800000
11/10/2011,1194.5999755859375,1199.239990234375,1187.300048828125,1195.5400390625,4424500000
12/10/2011,1196.18994140625,1220.25,1196.18994140625,1207.25,5355360000
13/10/2011,1206.9599609375,1207.4599609375,1190.5799560546875,1203.6600341796875,4436270000
14/10/2011,1205.6500244140625,1224.6099853515625,1205.6500244140625,1224.5799560546875,4116690000
17/10/2011,1224.469970703125,1224.469970703125,1198.550048828125,1200.8599853515625,4300700000
18/10/2011,1200.75,1233.0999755859375,1191.47998046875,1225.3800048828125,4840170000
19/10/2011,1223.4599609375,1229.6400146484375,1206.31005859375,1209.8800048828125,4846390000
20/10/2011,1209.9200439453125,1219.530029296875,1197.3399658203125,1215.3900146484375,4870290000
21/10/2011,1215.3900146484375,1239.030029296875,1215.3900146484375,1238.25,4980770000
24/10/2011,1238.719970703125,1256.550048828125,1238.719970703125,1254.18994140625,4309380000
25/10/2011,1254.18994140625,1254.18994140625,1226.7900390625,1229.050048828125,4473970000
26/10/2011,1229.1700439453125,1246.280029296875,1221.06005859375,1242.0,4873530000
27/10/2011,1243.969970703125,1292.6600341796875,1243.969970703125,1284.5899658203125,6367610000
28/10/2011,1284.3900146484375,1287.0799560546875,1277.010009765625,1285.0899658203125,4536690000
31/10/2011,1284.9599609375,1284.9599609375,1253.1600341796875,1253.300048828125,4310210000
01/11/2011,1251.0,1251.0,1215.4200439453125,1218.280029296875,5645540000
02/11/2011,1219.6199951171875,1242.47998046875,1219.6199951171875,1237.9000244140625,4110530000
03/11/2011,1238.25,1263.2099609375,1234.81005859375,1261.1500244140625,4849140000
04/11/2011,1260.8199462890625,1260.8199462890625,1238.9200439453125,1253.22998046875,3830650000
07/11/2011,1253.2099609375,1261.699951171875,1240.75,1261.1199951171875,3429740000
08/11/2011,1261.1199951171875,1277.550048828125,1254.989990234375,1275.9200439453125,3908490000
09/11/2011,1275.1800537109375,1275.1800537109375,1226.6400146484375,1229.0999755859375,4659740000
10/11/2011,1229.5899658203125,1246.219970703125,1227.699951171875,1239.699951171875,4002760000
11/11/2011,1240.1199951171875,1266.97998046875,1240.1199951171875,1263.8499755859375,3370180000
14/11/2011,1263.8499755859375,1263.8499755859375,1246.6800537109375,1251.780029296875,3219680000
15/11/2011,1251.699951171875,1264.25,1244.3399658203125,1257.81005859375,3599300000
16/11/2011,1257.81005859375,1259.6099853515625,1235.6700439453125,1236.9100341796875,4085010000
17/11/2011,1236.56005859375,1237.72998046875,1209.4300537109375,1216.1300048828125,4596450000
18/11/2011,1216.18994140625,1223.510009765625,1211.3599853515625,1215.6500244140625,3827610000
21/11/2011,1215.6199951171875,1215.6199951171875,1183.1600341796875,1192.97998046875,4050070000
22/11/2011,1192.97998046875,1196.81005859375,1181.6500244140625,1188.0400390625,3911710000
23/11/2011,1187.47998046875,1187.47998046875,1161.7900390625,1161.7900390625,3798940000
25/11/2011,1161.4100341796875,1172.6600341796875,1158.6600341796875,1158.6700439453125,1664200000
28/11/2011,1158.6700439453125,1197.3499755859375,1158.6700439453125,1192.550048828125,3920750000
29/11/2011,1192.56005859375,1203.6700439453125,1191.800048828125,1195.18994140625,3992650000
30/11/2011,1196.719970703125,1247.1099853515625,1196.719970703125,1246.9599609375,5801910000
01/12/2011,1246.9100341796875,1251.0899658203125,1239.72998046875,1244.5799560546875,3818680000
02/12/2011,1246.030029296875,1260.0799560546875,1243.3499755859375,1244.280029296875,4144310000
05/12/2011,1244.3299560546875,1266.72998046875,1244.3299560546875,1257.0799560546875,4148060000
06/12/2011,1257.18994140625,1266.030029296875,1253.030029296875,1258.469970703125,3734230000
07/12/2011,1258.1400146484375,1267.06005859375,1244.800048828125,1261.010009765625,4160540000
08/12/2011,1260.8699951171875,1260.8699951171875,1231.469970703125,1234.3499755859375,4298370000
09/12/2011,1234.47998046875,1258.25,1234.47998046875,1255.18994140625,3830610000
12/12/2011,1255.050048828125,1255.050048828125,1227.25,1236.469970703125,3600570000
13/12/2011,1236.8299560546875,1249.8599853515625,1219.4300537109375,1225.72998046875,4121570000
14/12/2011,1225.72998046875,1225.72998046875,1209.469970703125,1211.8199462890625,4298290000
15/12/2011,1212.1199951171875,1225.5999755859375,1212.1199951171875,1215.75,3810340000
16/12/2011,1216.0899658203125,1231.0400390625,1215.199951171875,1219.6600341796875,5345800000
19/12/2011,1219.739990234375,1224.5699462890625,1202.3699951171875,1205.3499755859375,3659820000
20/12/2011,1205.719970703125,1242.8199462890625,1205.719970703125,1241.300048828125,4055590000
21/12/2011,1241.25,1245.0899658203125,1229.510009765625,1243.719970703125,2959020000
22/12/2011,1243.719970703125,1255.219970703125,1243.719970703125,1254.0,3492250000
23/12/2011,1254.0,1265.4200439453125,1254.0,1265.3299560546875,2233830000
27/12/2011,1265.02001953125,1269.3699951171875,1262.300048828125,1265.4300537109375,2130590000
28/12/2011,1265.3800048828125,1265.8499755859375,1248.6400146484375,1249.6400146484375,2349980000
29/12/2011,1249.75,1263.5400390625,1249.75,1263.02001953125,2278130000
30/12/2011,1262.8199462890625,1264.1199951171875,1257.4599609375,1257.5999755859375,2271850000
03/01/2012,1258.8599853515625,1284.6199951171875,1258.8599853515625,1277.06005859375,3943710000
04/01/2012,1277.030029296875,1278.72998046875,1268.0999755859375,1277.300048828125,3592580000
05/01/2012,1277.300048828125,1283.050048828125,1265.260009765625,1281.06005859375,4315950000
06/01/2012,1280.9300537109375,1281.8399658203125,1273.3399658203125,1277.81005859375,3656830000
09/01/2012,1277.8299560546875,1281.989990234375,1274.550048828125,1280.699951171875,3371600000
10/01/2012,1280.77001953125,1296.4599609375,1280.77001953125,1292.0799560546875,4221960000
11/01/2012,1292.02001953125,1293.800048828125,1285.4100341796875,1292.47998046875,3968120000
12/01/2012,1292.47998046875,1296.8199462890625,1285.77001953125,1295.5,4019890000
13/01/2012,1294.8199462890625,1294.8199462890625,1277.5799560546875,1289.0899658203125,3692370000
17/01/2012,1290.219970703125,1303.0,1290.219970703125,1293.6700439453125,4010490000
18/01/2012,1293.6500244140625,1308.1099853515625,1290.989990234375,1308.0400390625,4096160000
19/01/2012,1308.0699462890625,1315.489990234375,1308.0699462890625,1314.5,4465890000
20/01/2012,1314.489990234375,1315.3800048828125,1309.1700439453125,1315.3800048828125,3912620000
23/01/2012,1315.2900390625,1322.280029296875,1309.8900146484375,1316.0,3770910000
24/01/2012,1315.9599609375,1315.9599609375,1306.06005859375,1314.6500244140625,3693560000
25/01/2012,1314.4000244140625,1328.300048828125,1307.6500244140625,1326.06005859375,4410910000
26/01/2012,1326.280029296875,1333.469970703125,1313.5999755859375,1318.4300537109375,4522070000
27/01/2012,1318.25,1320.06005859375,1311.719970703125,1316.3299560546875,4007380000
30/01/2012,1316.1600341796875,1316.1600341796875,1300.489990234375,1313.010009765625,3659010000
31/01/2012,1313.530029296875,1321.4100341796875,1306.68994140625,1312.4100341796875,4235550000
01/02/2012,1312.449951171875,1330.52001953125,1312.449951171875,1324.0899658203125,4504360000
02/02/2012,1324.239990234375,1329.18994140625,1321.5699462890625,1325.5400390625,4120920000
03/02/2012,1326.2099609375,1345.3399658203125,1326.2099609375,1344.9000244140625,4608550000
06/02/2012,1344.3199462890625,1344.3599853515625,1337.52001953125,1344.3299560546875,3379700000
07/02/2012,1344.3299560546875,1349.239990234375,1335.9200439453125,1347.050048828125,3742460000
08/02/2012,1347.0400390625,1351.0,1341.949951171875,1349.9599609375,4096730000
09/02/2012,1349.969970703125,1354.3199462890625,1344.6300048828125,1351.949951171875,4209890000
10/02/2012,1351.2099609375,1351.2099609375,1337.3499755859375,1342.6400146484375,3877580000
